Streamer,Date,Duration,Viewers
alanzoka,2020-04-21T03:10:34Z,3h19m54s,17295
alanzoka,2020-04-20T18:13:24Z,8h43m14s,84892
alanzoka,2020-04-17T18:28:21Z,6h9m10s,87068
alanzoka,2020-04-17T16:41:04Z,8h0m48s,40666
alanzoka,2020-04-17T16:40:01Z,2h26m41s,11999
alanzoka,2020-04-17T16:39:10Z,45m32s,7019
alanzoka,2020-04-17T16:38:38Z,5h3m31s,27328
alanzoka,2020-04-17T16:38:03Z,6h42m2s,37771
alanzoka,2020-04-16T18:34:07Z,8h32m36s,63973
alanzoka,2020-04-16T18:21:19Z,12m40s,6496
alanzoka,2020-04-15T18:22:45Z,7h38m29s,62582
alanzoka,2020-04-15T00:48:50Z,51m42s,20167
alanzoka,2020-04-14T18:17:49Z,5h33m14s,48993
alanzoka,2020-04-13T18:15:04Z,7h35m43s,73081
alanzoka,2020-04-11T05:19:33Z,8h20m55s,86808
alanzoka,2020-04-11T05:18:21Z,23m26s,27537
alanzoka,2020-04-10T19:12:52Z,8h27m55s,118166
alanzoka,2020-04-10T18:17:06Z,55m6s,24024
alanzoka,2020-04-08T23:53:32Z,2h40m19s,48785
alanzoka,2020-04-08T18:21:42Z,5h29m40s,58684
alanzoka,2020-04-07T19:21:04Z,4h51m14s,47828
alanzoka,2020-04-07T19:20:17Z,24s,5788
alanzoka,2020-04-07T18:16:14Z,1h3m49s,11347
alanzoka,2020-04-06T18:12:09Z,7h50m36s,118788
alanzoka,2020-04-06T18:11:31Z,20s,7538
alanzoka,2020-04-03T18:25:31Z,6h34m36s,80640
alanzoka,2020-04-02T21:07:27Z,4h37m30s,281256
alanzoka,2020-04-02T20:00:00Z,57m11s,72006
alanzoka,2020-04-02T18:24:52Z,1h24m8s,87524
alanzoka,2020-04-02T01:42:41Z,1h26m26s,25711
alanzoka,2020-04-01T18:09:28Z,7h32m36s,96134
alanzoka,2020-03-31T18:25:57Z,7h3m41s,96806
alanzoka,2020-03-31T03:26:34Z,8h18m41s,18634
alanzoka,2020-03-30T18:22:45Z,8h54m46s,25765
alanzoka,2020-03-27T20:35:52Z,6h46m34s,67793
alanzoka,2020-03-27T19:29:30Z,21m51s,8869
alanzoka,2020-03-27T19:25:29Z,3m40s,4867
alanzoka,2020-03-27T19:16:38Z,8m28s,3606
alanzoka,2020-03-27T18:20:18Z,53m0s,9874
alanzoka,2020-03-27T06:29:10Z,4h52m5s,12174
alanzoka,2020-03-27T06:27:57Z,2h12m25s,5618
alanzoka,2020-03-27T06:26:59Z,3h35m19s,8617
alanzoka,2020-03-27T06:24:43Z,1h42m21s,5667
alanzoka,2020-03-27T06:24:43Z,4h58m42s,6471
alanzoka,2020-03-27T06:22:05Z,1h55m57s,6806
alanzoka,2020-03-27T06:20:22Z,3h35m24s,15256
alanzoka,2020-03-26T21:05:54Z,7h9m9s,32450
alanzoka,2020-03-26T18:14:21Z,2h51m18s,11310
alanzoka,2020-03-25T18:13:53Z,3h3m44s,38138
alanzoka,2020-03-24T18:23:12Z,7h43m16s,34905
alanzoka,2020-03-23T18:30:11Z,7h30m32s,70695
alanzoka,2020-03-21T22:55:45Z,3h30m6s,49401
alanzoka,2020-03-21T18:34:10Z,4h12m56s,40866
alanzoka,2020-03-20T18:27:32Z,8h23m10s,56903
alanzoka,2020-03-20T16:29:48Z,4h44m59s,50876
alanzoka,2020-03-20T16:27:28Z,1h47m24s,2518
alanzoka,2020-03-19T18:10:24Z,8h0m56s,108996
alanzoka,2020-03-19T05:16:34Z,9h15m42s,17716
alanzoka,2020-03-18T18:17:19Z,10h11m36s,80232
alanzoka,2020-03-18T03:06:33Z,3h31m44s,3503
alanzoka,2020-03-18T03:06:33Z,3h43m38s,20682
alanzoka,2020-03-17T18:17:32Z,8h14m19s,36887
alanzoka,2020-03-17T05:34:31Z,2h45m29s,8718
alanzoka,2020-03-16T21:17:33Z,5h8m16s,40871
alanzoka,2020-03-16T21:16:39Z,20s,5354
alanzoka,2020-03-16T20:34:17Z,42m12s,8130
alanzoka,2020-03-16T20:28:04Z,1m14s,4166
alanzoka,2020-03-16T18:10:13Z,2h12m56s,19288
alanzoka,2020-03-13T18:08:43Z,9h6m12s,89489
alanzoka,2020-03-13T00:49:55Z,6m12s,11464
alanzoka,2020-03-13T00:10:41Z,36m18s,10083
alanzoka,2020-03-12T22:20:21Z,1h47m45s,19354
alanzoka,2020-03-12T18:08:00Z,4h4m44s,46779
alanzoka,2020-03-12T06:58:44Z,2h41m22s,10623
alanzoka,2020-03-12T06:58:44Z,3h8m58s,39353
alanzoka,2020-03-11T18:12:38Z,10h58m33s,61957
alanzoka,2020-03-11T17:08:09Z,2h17m0s,7315
alanzoka,2020-03-10T18:04:18Z,10h15m36s,97509
alanzoka,2020-03-10T15:41:58Z,8h38m25s,27776
alanzoka,2020-03-09T18:12:04Z,9h21m55s,35433
alanzoka,2020-03-07T04:22:47Z,8h13m6s,45607
alanzoka,2020-03-06T18:04:02Z,9h27m46s,52306
alanzoka,2020-03-06T04:47:21Z,2h6m26s,36110
alanzoka,2020-03-05T23:45:44Z,3h4m50s,39617
alanzoka,2020-03-05T18:02:48Z,5h41m30s,90380
alanzoka,2020-03-05T17:40:50Z,2h12m10s,5902
alanzoka,2020-03-04T18:04:21Z,7h37m19s,91248
alanzoka,2020-03-03T18:01:11Z,9h58m9s,58537
alanzoka,2020-03-02T23:05:07Z,4h45m31s,36097
alanzoka,2020-03-02T18:00:32Z,5h0m3s,50975
alanzoka,2020-03-01T21:32:46Z,7h2m27s,15829
alanzoka,2020-02-28T21:38:51Z,8h4m46s,95288
alanzoka,2020-02-28T05:17:12Z,3h57m29s,20786
alanzoka,2020-02-27T20:38:58Z,7h18m24s,122394
alanzoka,2020-02-18T17:32:47Z,2h54m58s,67500
alanzoka,2020-02-17T18:17:12Z,8h12m17s,92711
alanzoka,2020-02-14T20:12:54Z,8h23m23s,98220
